date,amount,category,description
2024-11-01,450.50,Food,Grocery shopping at local market
2024-11-01,85.00,Transport,Metro card recharge
2024-11-02,1200.00,Shopping,New shoes purchase
2024-11-02,300.00,Food,Restaurant dinner
2024-11-03,150.00,Entertainment,Movie tickets
2024-11-03,600.00,Utilities,Electricity bill
2024-11-04,220.00,Food,Breakfast and lunch
2024-11-04,180.00,Transport,Cab ride to office
2024-11-05,890.00,Shopping,Clothing store
2024-11-05,120.00,Healthcare,Pharmacy medicines
2024-11-06,340.00,Food,Weekly groceries
2024-11-07,750.00,Entertainment,Concert tickets
2024-11-08,420.00,Food,Dinner with friends
2024-11-08,95.00,Transport,Fuel for car
2024-11-09,1500.00,Shopping,Electronics purchase
2024-11-10,280.00,Food,Lunch meetings
2024-11-11,650.00,Utilities,Internet and phone bill
2024-11-12,190.00,Food,Daily meals
2024-11-12,140.00,Transport,Auto rickshaw
2024-11-13,520.00,Healthcare,Doctor consultation
2024-11-14,380.00,Food,Grocery restock
2024-11-15,210.00,Entertainment,Gaming subscription
2024-11-16,1100.00,Shopping,Home decor items
2024-11-17,450.00,Food,Weekend eating out
2024-11-18,180.00,Transport,Public transport pass
2024-11-19,670.00,Shopping,Gift purchases
2024-11-20,320.00,Food,Daily expenses
2024-11-21,890.00,Utilities,Water and maintenance
2024-11-22,240.00,Food,Bakery and snacks
2024-11-23,950.00,Entertainment,Streaming services
2024-11-24,410.00,Food,Restaurant visit
2024-11-25,160.00,Transport,Taxi rides
2024-11-26,1800.00,Shopping,Furniture purchase
2024-11-27,350.00,Food,Groceries
2024-11-28,720.00,Healthcare,Medical tests
2024-11-29,290.00,Food,Cafe visits
2024-11-30,580.00,Shopping,Personal care items
2024-12-01,460.00,Food,Monthly grocery start
2024-12-02,195.00,Transport,Monthly pass renewal
2024-12-03,1250.00,Shopping,Winter clothes
2024-12-04,340.00,Food,Restaurant dinner
2024-12-05,850.00,Utilities,Gas cylinder
2024-12-06,230.00,Food,Daily meals
2024-12-07,420.00,Entertainment,Weekend outing
2024-12-08,380.00,Food,Groceries midweek
2024-12-09,170.00,Transport,Cab to meeting
2024-12-10,990.00,Shopping,Gadget accessories
2024-12-11,310.00,Food,Lunch and dinner
2024-12-12,680.00,Healthcare,Dental checkup
2024-12-13,270.00,Food,Snacks and beverages
2024-12-14,540.00,Entertainment,Event tickets
2024-12-15,1600.00,Shopping,Christmas shopping
2024-12-16,410.00,Food,Weekend meals
2024-12-17,220.00,Transport,Fuel refill
2024-12-18,760.00,Utilities,Yearly subscription
2024-12-19,350.00,Food,Groceries
2024-12-20,920.00,Shopping,Gift items
2024-12-21,290.00,Food,Cafe and snacks
2024-12-22,480.00,Entertainment,Party expenses
2024-12-23,1350.00,Shopping,Holiday shopping
2024-12-24,520.00,Food,Christmas dinner prep
2024-12-25,870.00,Food,Christmas feast
2024-12-26,340.00,Transport,Travel expenses
2024-12-27,710.00,Shopping,Post-holiday sales
2024-12-28,280.00,Food,Daily meals
2024-12-29,640.00,Healthcare,Year-end checkup
2024-12-30,390.00,Food,New Year prep
2024-12-31,950.00,Entertainment,New Year celebration
2025-01-01,720.00,Food,New Year brunch
2025-01-02,460.00,Food,Regular groceries
2025-01-03,180.00,Transport,Metro recharge
2025-01-04,1100.00,Shopping,January sales
2025-01-05,330.00,Food,Weekday meals
2025-01-06,580.00,Utilities,Monthly bills
2025-01-07,240.00,Food,Groceries
2025-01-08,420.00,Entertainment,Weekend fun
2025-01-09,890.00,Shopping,New items
2025-01-10,310.00,Food,Daily expenses
